name,hebrew_name,hebrew_date,significance,feast_season
Passover,Pesach,Nisan 14-15,"Exodus from Egypt, Lamb sacrifice, Messiah crucifixion",Spring
Unleavened Bread,Chag HaMatzot,Nisan 15-21,"Sinless life of Messiah, Burial",Spring
First Fruits,Yom HaBikkurim,Nisan 17,"Resurrection, First fruits of harvest",Spring
Pentecost,Shavuot,Sivan 6,"Torah given, Holy Spirit outpouring",Spring
Trumpets,Yom Teruah,Tishrei 1,"Rapture, Coronation of King, Resurrection",Fall
Day of Atonement,Yom Kippur,Tishrei 10,"National Israel repentance, Second Coming",Fall
Tabernacles,Sukkot,Tishrei 15-21,"Millennial Kingdom, God dwelling with man",Fall
